Key,Tier,Item Type,Publication Year,Author,Publication Title,DOI,Title,Abstract Note,Country of Origin,Geographic Scope,Geographic Scope - Note,Time Scope - Start Date,Time Scope - End Date,Time Scope - Non-consecutive?,Time Scope - Note,duration,Data Size - Number,Subset?,Subset - Note,Interval Size,Data Source Type,Data Source,Topic 1,Topic 2,Topic 3,Topic 4,Topic_Group,Methodological Themes - Method,Minor - Method,Application Theme - Purpose,Minor - Purpose
FHPA8UFR,1,journalArticle,2018,"Novan, Kevin; Smith, Aaron",JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,10.1086/697050,The Incentive to Overinvest in Energy Efficiency: Evidence from Hourly Smart-Meter Data,"Many households pay a marginal price for electricity that exceeds the marginal social cost of supplying that electricity. We show evidence that such pricing schemes can create an incentive to overinvest in energy efficiency. Using hourly smart-meter data for households facing time-invariant increasing block prices, we estimate how air conditioner upgrades affect electricity use. We find that the average participating household reduces consumption by 5%, which provides private savings in the form of lower electricity bills and social cost savings by decreasing generation and pollution costs. The private savings exceed the social savings by an average of 140%, so the average household is faced with an incentive to overinvest in energy efficiency. This incentive to overinvest in energy efficiency would be cut in half if consumers faced any one of three alternative pricing plans with lower marginal price but the same average price.",United States,City,Sacramento,4/1/2012,10/31/2013,No,,579,2496,No,,1-hour,Utility Company,SMUD,Pricing System,Energy Efficiency,,,Utility Operation Optimization,Understanding Residential Stock and Behaviors,Behavioral change due to Stimuli - Time-of-use rates,Utility Operations and benefits,Rate Structures
E4J3M2QI,2,journalArticle,2018,"Schopfer, S.; Tiefenbeck, V.; Staake, T.",Applied Energy,10.1016/j.apenergy.2018.03.185,Economic assessment of photovoltaic battery systems based on household load profiles,"Technical advances and decreasing costs of photovoltaic (PV) and battery (B) systems are key drivers for the consumer-prosumer transition in many countries. However, the installation of a photovoltaic-battery (PVB) system is not equally profitable for all consumers. This study systematically assesses how heterogeneity in real-world electricity load profiles affects the optimal system configuration and profitability of PVB systems. To that end, we develop a techno-economic simulation model that optimizes the PVB configuration for given electricity load profiles. The analysis uses real-world energy consumption data from 4190 households and is conducted for current electricity rates and weather conditions in Zurich, Switzerland. To account for future price reductions of PV and PVB systems, we conduct a sensitivity analysis that assesses how different cost scenarios influence optimal system configuration and profitability. Finally, we develop and validate a machine learning algorithm that can predict system profitability based only on a limited set of features and on shorter measurement timeframes of smart-meter data. We find that under the current cost scenario (PV: 2000 ÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½/kWp, B: 1000 ÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½/kWh) and without subsidies, about 40% of the analyzed households reach a positive net present value (NPV) for a PV-system, but only for 0.1% of households is the integration of a battery profitable. Under the most optimistic cost scenario for both technologies (PV: 1000 ÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½/kWp, B: 250 ÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½EEEÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â¿Ãƒâ€šÃ‚Â½/kWh), 99.9% of the households benefit from the integration of battery storage into their optimal system configuration, with a mean installed PV power of 4.4 kWp and a mean battery size of 9.6 kWh. In all cost scenarios, system profitability varies considerably between households, even for households with comparable total annual demand, primarily due to the het",Ireland,Nation,,7/10/2009,12/26/2010,No,,535,4232,Yes,4190,30-min,Program/Project,CERCBT,Photovoltaics,Battery,,,Evaluation of Household Physical Infrastructure,Evaluation of New Technologies,Systems - PV,Physical Infrastructure,Evaluation of New Technologies
3KUB5LXG,1,journalArticle,2016,"Al-Otaibi, Reem; Jin, Nanlin; Wilcox, Tom; Flach, Peter",IEEE Transactions on Industrial Informatics,10.1109/TII.2016.2528819,Feature Construction and Calibration for Clustering Daily Load Curves from Smart-Meter Data,"This paper proposes and compares feature construction and calibration methods for clustering daily electricity load curves. Such load curves describe electricity demand over a period of time. A rich body of the literature has studied clustering of load curves, usually using temporal features. This limits the potential to discover new knowledge, which may not be best represented as models consisting of all time points on load curves. This paper presents three new methods to construct features: 1) conditional filters on time-resolution-based features; 2) calibration and normalization; and 3) using profile errors. These new features extend the potential of clustering load curves. Moreover, smart metering is now generating high-resolution time series, and so the dimensionality reduction offered by these features is welcome. The clustering results using the proposed new features are compared with clusterings obtained from temporal features, as well as clusterings with Fourier features, using household electricity consumption time series as test data. The experimental results suggest that the proposed feature construction methods offer new means for gaining insight in energy-consumption patterns. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2016 IEEE.",UK,Nation,,4/1/2009,10/31/2010,No,,579,5000,No,,30-min,Utility Company,SSE,Customer Identification and Grouping,,,,Customer Identification,Customer Segmentation/Identification,Grouping Customers by Electricity Behavior (Clustering),Consumer Behavior,Customer Segmentation
WDA37JTE,1,journalArticle,2018,"Zethmayr, Jeff; Kolata, David",Electricity Journal,10.1016/j.tej.2018.02.006,The costs and benefits of real-time pricing: An empirical investigation into consumer bills using hourly energy data and prices,"This study analyzed smart meter data to compare how residential consumers would have fared in 2016 under traditional, flat-rate electricity pricing versus the ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¹Ã…â€œreal-time pricingÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ program offered by Illinois utility Commonwealth Edison. Although further study is needed with more customers and multiple years, 97% of households in the study would have saved with real-time pricing. The average savings would have been 86.63, or 13.2%, annually. Total savings would have been 29.8 million. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2018 Elsevier Inc.",United States,Region,ChicagoÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢s Maywood area,1/1/2016,12/31/2016,No,,366,344717,No,,30-min,Utility Company,ComEd,Pricing System,Consumption Behavior (Socioeconomical Characteristics),,,Utility Operation Optimization,Understanding Residential Stock and Behaviors,Behavioral change due to Stimuli - Time-of-use rates,Utility Operations and benefits,Rate Structures
Q4JINRTY,1,journalArticle,2018,"Poursharif, Goudarz; Brint, Andrew; Black, Mary; Marshall, Mark","IET Generation, Transmission and Distribution",10.1049/iet-gtd.2017.1300,Using smart meters to estimate low-voltage losses,"Losses on low-voltage networks are often substantial. For example, in the UK they have been estimated as being 4% of the energy supplied by low-voltage networks. However, the breakdown of the losses to individual conductors and their split over time are poorly understood as generally only the peak demands and average loads over several months have been recorded. The introduction of domestic smart meters has the potential to change this. How domestic smart meter readings can be used to estimate the actual losses is analysed. In particular, the accuracy of using 30 min readings compared with 1 min readings, and how this accuracy could be improved, were investigated. This was achieved by assigning the data recorded by 100 smart meters with a time resolution of 1 min to three test networks. Smart meter data from three sources were used in the investigation. It was found that 30 min resolution data underestimated the losses by between 9 and 24%. By fitting an appropriate model to the data, it was possible to reduce the inaccuracy by 50%. Having a smart meter time resolution of 10 min rather than 30 gave little improvement to the accuracy. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© The Institution of Engineering and Technology 2017.",UK,,,,,Yes,53 days,53,100,No,,1-min,Database,CLNR,Technical Loss Detection,,,,Utility Operation Optimization,Utility Operations Optimization,Technical Loss Detection,Utility Operations and benefits,Loss Detection
I7GGI7WT,1,journalArticle,2018,"Bedingfield, Sue; Alahakoon, Damminda; Genegedera, Hiran; Chilamkurti, Naveen",Sustainable Cities and Society,10.1016/j.scs.2018.04.006,Multi-granular electricity consumer load profiling for smart homes using a scalable big data algorithm,"With rising electricity prices, there is a need to give consumers greater control over their energy consumption. It is anticipated that such informed consumers in control of their consumption patterns will contribute to reduced energy usage and thus a sustainable environment. Smart meter technology in smart homes provides real-time information to customers through devices such as in-home displays and web portals, and provide half-hourly consumption data to electricity distributors and retailers. Such data enables the profiling of consumers making it possible to understand different life styles and electricity usage behaviours to provide customised electricity billing. To obtain the anticipated benefit from such highly granular and high frequency data, it is essential to have big data technologies which can process such volumes of data in near real time. The research described in this paper focus on addressing the key requirements of large volume data processing and making use of the highly granular nature of the data. Adapting a new scalable algorithm introduced by the authors for big data processing, this work demonstrates the practicality of processing large volumes of data at multiple levels of granularity. The faster processing capacity makes it possible to continuously analyse consumption data at frequent intervals as they are collected and at a highly granular level thus providing a practical solution as a smart home application. The advantages of the technique is demonstrated using electricity consumption data for 10,000 households for a year from an Australian electricity retailer. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2018 Elsevier Ltd",Australia,State,Victoria,,,No,over a full year (1st April ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œ 31st March),365,10000,No,,30-min,Utility Company,Not Specified,Data Management,,,,Utility Operation Optimization,Utility Operations Optimization,Data Management,Utility Operations and benefits,Big-data Management
3UH7ZPAT,2,journalArticle,2018,"Fiot, Jean-Baptiste; Dinuzzo, Francesco",IEEE Transactions on Smart Grid,10.1109/TSG.2016.2555788,Electricity demand forecasting by multi-task learning,"We explore the application of kernel-based multi-task learning techniques to forecast the demand of electricity measured on multiple lines of a distribution network. We show that recently developed output kernel learning techniques are particularly well suited to solve this problem, as they allow to flexibly model the complex seasonal effects that characterize electricity demand data, while learning and exploiting correlations between multiple demand profiles. We also demonstrate that kernels with a multiplicative structure yield superior predictive performance with respect to the widely adopted (generalized) additive models. This paper is based on residential and industrial smart meter data provided by the Irish Commission for Energy Regulation. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2016 IEEE.",Ireland,Nation,,7/14/2009,12/31/2010,No,,536,6435,No,,30-min,Program/Project,CERCBT,Short Term Load Forecasting,,,,Load Forecasting,Forecasting,,Utility Operations and benefits,Short term load forecasting
TRVBPM7W,1,journalArticle,2018,"Eguiguren-Cosmelli, JosÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â© M.",Energy Efficiency,10.1007/s12053-017-9595-3,Responsiveness of low-income households to hybrid price/non-price policies in the presence of energy shortages: evidence from Colombia,"At the beginning of 2016, Colombia was experiencing an energy shortage, and in order to avoid mandatory power cuts, the government launched an unexpected hybrid price/non-price energy-saving policy. In this paper, I evaluate how low-income households in a major Colombian city respond to this policy. Using hourly household electricity consumption data, I find that, on average, households reduce electricity consumption by 4.5% as a result of the policy. It is striking that even low-income households, who consume relatively small amounts of electricity, respond to energy-saving policies and engage in conservation behaviors in the short term. In my analysis, I also find that the effect is stronger the higher the household pre-treatment electricity consumption levels and smaller among poorer households. However, the heterogeneity in terms of income level vanishes once I control for household pre-program electricity consumption levels. Finally, my point estimates are comparable to the impact estimates of policies that are similar to the one I analyze in this paper. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2018, Springer Science+Business Media B.V., part of Springer Nature.",Columbia,City,Cali,2/27/2016,3/21/2016,No,,24,7251,No,,1-hour,Utility Company,EMCALI,Energy Saving Policy,Consumption Behavior (Socioeconomical Characteristics),,,Understanding Residential Behavior,Understanding Residential Stock and Behaviors,Behavioral change due to Stimuli - Time-of-use rates,Consumer Behavior,Response to Stimuli - Time of Use Rates
738QKC39,2,journalArticle,2018,"Nilsson, Anders; Wester, Misse; Lazarevic, David; Brandt, Nils",Energy and Buildings,10.1016/j.enbuild.2018.08.026,"Smart homes, home energy management systems and real-time feedback: Lessons for influencing household energy consumption from a Swedish field study","Home energy management systems (HEMS), providing energy feedback and smart features through in-home displays, have the potential to support more sustainable household decisions concerning energy consumption. However, recent findings from European smart metering trials have reduced the optimism, suggesting only modest savings from energy feedback. In this paper, we investigate the potential of HEMS to foster reductions in energy use, focusing on a population segment of particular relevance; high-income and highly educated households, considered as early adopters of smart grid technologies. Covering 154 households participating in a field trial in a sustainable city district in Stockholm, Sweden during one year, this study draws on the analyses of smart meter electricity and hot tap water data and in-depth interviews to provide an increased understanding of how feedback and features are perceived, used, and acted upon, and resulting effects on awareness, behavior, and consumption. Our results show that impact on energy consumption varies widely across individual households, suggesting that households respond to energy feedback highly individually. Although HEMS may lead to increased awareness of energy consumption, as well as increased home comfort, several obstacles for energy consumption behavioral change are identified. Drawing from these findings, we suggest policy implications and key issues for future research. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2018 Elsevier B.V.",Sweden,City,Stockholm,1/1/2017,12/31/2017,No,,365,154,No,,1-hour,Program/Project,Not Specified,Home Energy Management System,Consumption Behavior (Socioeconomical Characteristics),,,Utility Operation Optimization,Evaluation of New Technologies,System - HEMS,Physical Infrastructure,Evaluation of New Technologies
3B5M2RQQ,2,journalArticle,2018,"Ponocko, Jelena; Milanovic, Jovica V.",IEEE Transactions on Power Systems,10.1109/TPWRS.2018.2799903,Forecasting Demand Flexibility of Aggregated Residential Load Using Smart Meter Data,"Demand decomposition (disaggregation) presents the process of assessing time-varying participation of different load categories within the total active or reactive load. Information on load composition is highly beneficial for different demand side management applications. In order to decompose total forecasted load of aggregated households where only some are monitored by smart meters (SMs) with submetering capabilities, a two-level methodology is proposed. At the first level, load disaggregation of the load monitored by SMs is done based on measurements of power consumed by each home appliance, and at the second, the disaggregation of the total forecasted load is performed using artificial neural network. This paper investigates the required percentage of users in an aggregation that should be equipped with a SM with submetering capabilities in order to forecast (within certain confidence level) the load composition of the overall aggregated demand. The methodology was first tested on a UK statistics-based load model, and then validated on a real pilot site's consumption dataset. The results show that even with 5% SM coverage, one can forecast, with high confidence, the composition of the load at the substation (aggregation point). In other words, there is no techno-economic justification for submetering technologies to be installed at every user's premise; a limited installation of such devices would suffice. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 1969-2012 IEEE.",United States,City,Austin,6/1/2015,8/31/2015,No,,92,200,No,,1-min,Dataset,Pecan Street,Short Term Load Forecasting,,,,Load Forecasting,Forecasting,,Utility Operations and benefits,Short term load forecasting
NAK4TPFK,1,journalArticle,2018,"Gianniou, Panagiota; Liu, Xiufeng; Heller, Alfred; Nielsen, Per Sieverts; Rode, Carsten",Energy Conversion and Management,10.1016/j.enconman.2018.03.015,Clustering-based analysis for residential district heating data,"The wide use of smart meters enables collection of a large amount of fine-granular time series, which can be used to improve the understanding of consumption behavior and used for consumption optimization. This paper presents a clustering-based knowledge discovery in databases method to analyze residential heating consumption data and evaluate information included in national building databases. The proposed method uses the K-means algorithm to segment consumption groups based on consumption intensity and representative patterns and ranks the groups according to daily consumption. This paper also examines the correlation between energy intensity and the characteristics of buildings and occupants, load profiles of households, consumption behavior changes over time, and consumption variability. The results show that the majority of the customers can be represented by fairly constant load profiles. Calendar context has an impact not only on the patterns but also on the consumption intensity and user behaviors. The variability studies show that consumption patterns are serially correlated, the customers with high energy consumption have lower variability, and the consumption is more stable over time. These findings will be valuable for district heating utilities and energy planners to optimize their operations, design demand-side management strategies, and develop targeting energy-efficiency programs or policies. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2018 Elsevier Ltd",Denmark,City,Aarhus,,,Yes,"The readings were collected from different starting dates, with the earliest being March 02, 2009, but all end on November 29, 2015.",2463,8293,No,,1-hour,Utility Company,AVA,Customer Identification and Grouping,Heating System,Consumption Behavior (Building Characteristics),Consumption Behavior (Temperature/Weather),Understanding Residential Behavior,Customer Segmentation/Identification,Grouping Customers by Electricity Behavior (Clustering),Consumer Behavior,Load patterns - Building Stock
H5ASTI2W,1,journalArticle,2019,"Laurinec, Peter; LÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â³derer, Marek; LuckÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡, MÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡ria; RozinajovÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡, Viera",Journal of Intelligent Information Systems,10.1007/s10844-019-00550-3,Density-based unsupervised ensemble learning methods for time series forecasting of aggregated or clustered electricity consumption,"This paper presents a comparison of the impact of various unsupervised ensemble learning methods on electricity load forecasting. The electricity load from consumers is simply aggregated or optimally clustered to more predictable groups by cluster analysis. The clustering approach consists of efficient preprocessing of data obtained from smart meters by a model-based representation and the K-means method. We have implemented two types of unsupervised ensemble learning methods to investigate the performance of forecasting on clustered or simply aggregated load: bootstrap aggregating based and the newly proposed density-clustering based. Three new bootstrapping methods for time series analysis methods were newly proposed in order to handle the noisy behaviour of time series. The smart meter datasets used in our experiments come from Australia, London, and Ireland, where data from residential consumers were available. The achieved results suggest that for extremely fluctuating and noisy time series the forecasting accuracy improvement through the bagging can be a challenging task. However, our experimental evaluation shows that in most of the cases the density-based unsupervised ensemble learning methods are significantly improving forecasting accuracy of aggregated or clustered electricity load. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Australia,Region,New South Wales and Sydney,9/2/2010,12/22/2010,No,,112,300,No,,30-min,Utility Company,Ausgrid,Customer Identification and Grouping,Short Term Load Forecasting,,,Load Forecasting,Customer Segmentation/Identification,Grouping Customers by Electricity Behavior (Clustering),Utility Operations and benefits,Short term load forecasting
TEIBFIGT,1,journalArticle,2019,"Oprea, Simona-Vasilica; Bara, Adela",IEEE Access,10.1109/ACCESS.2019.2958383,"Machine Learning Algorithms for Short-Term Load Forecast in Residential Buildings Using Smart Meters, Sensors and Big Data Solutions","In this paper, we propose a scalable Big Data framework that collects the data from smart meters and weather sensors, pre-processes and loads it into a NoSQL database that is capable to store and further process large volumes of heterogeneous data. Then, a set of Machine Learning (ML) algorithms are designed and implemented to determine the load profiles and forecast the electricity consumption for residential buildings for the next 24 hours. For the Short-Term Load Forecast (STLF), a Feed-Forward Artificial Neural Network (FF-ANN) algorithm with backtracking adjustment of the learning rate that extends and optimizes the Nesterov learning method is proposed. Its performance is compared with six algorithms, i.e. FF-ANN with well-known learning methods, namely Momentum and Nesterov, Non-linear AutoRegressive with eXogenous (NARX), Deep Neural Network (DNN), Gradient Tree Boosting (GTB) and Random Forests (RF) that are competitive and powerful ML algorithms which have been successfully used for load forecast. Hence, for STLF, the seven algorithms are executed simultaneously and the best one is automatically selected considering its accuracy in terms of Root Mean Square Errors (RMSE). The proposed methodology contains the steps required to implement the Big Data framework, i.e. data pre-processing, transformation and loading, the configuration of the ML algorithms for dimensionality reduction, clustering, STLF with different algorithms from which the Best Performant Algorithm (BPA) is automatically selected to provide STLF for the next 24 hours. The methodology is ultimately tested considering a real case of a residential smart building. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2013 IEEE.",United States,Region,New England,6/30/2014,12/31/2015,No,,550,114,No,,15-min,Smart Meter,Not Specified,Short Term Load Forecasting,,,,Load Forecasting,Forecasting,,Utility Operations and benefits,Short term load forecasting
BBEF3RXL,2,journalArticle,2018,"Mashima, Daisuke; Serikova, Aidana; Cheng, Yao; Chen, Binbin",ICT Express,10.1016/j.icte.2018.01.006,Towards quantitative evaluation of privacy protection schemes for electricity usage data sharing,"Thanks to the roll-out of smart meters, availability of fine-grained electricity usage data has rapidly grown. Such data has enabled utility companies to perform robust and efficient grid operations. However, at the same time, privacy concerns associated with sharing and disclosure of such data have been raised. In this paper, we first demonstrate the feasibility of estimating privacy-sensitive household attributes based solely on the energy usage data of residential customers. We then discuss a framework to measure privacy gain and evaluate the effectiveness of customer-centric privacy-protection schemes, namely redaction of data irrelevant to services and addition of bounded artificial noise. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2018 The Korean Institute of Communications Information Sciences",UK,Nation,,,,No,1 week,7,220,No,,10-min,Dataset,HES,Customer Identification and Grouping,Privacy,,,Utility Operation Optimization,Customer Segmentation/Identification,Grouping Customers by Electricity Behavior,Utility Operations and benefits,Privacy
YSB549IT,2,journalArticle,2019,"Kong, Weicong; Dong, Zhao Yang; Jia, Youwei; Hill, David J.; Xu, Yan; Zhang, Yuan",IEEE Transactions on Smart Grid,10.1109/TSG.2017.2753802,Short-Term Residential Load Forecasting Based on LSTM Recurrent Neural Network,"As the power system is facing a transition toward a more intelligent, flexible, and interactive system with higher penetration of renewable energy generation, load forecasting, especially short-term load forecasting for individual electric customers plays an increasingly essential role in the future grid planning and operation. Other than aggregated residential load in a large scale, forecasting an electric load of a single energy user is fairly challenging due to the high volatility and uncertainty involved. In this paper, we propose a long short-term memory (LSTM) recurrent neural network-based framework, which is the latest and one of the most popular techniques of deep learning, to tackle this tricky issue. The proposed framework is tested on a publicly available set of real residential smart meter data, of which the performance is comprehensively compared to various benchmarks including the state-of-the-arts in the field of load forecasting. As a result, the proposed LSTM approach outperforms the other listed rival algorithms in the task of short-term load forecasting for individual residential households. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2010-2012 IEEE.",Australia,Region,"local government areas in New South Wales, including Greater Newcastle area, Sydney CBD, Ku-Ring-Gai area, Newington area, Scone area, and Nelson Bay area",6/1/2013,8/31/2013,No,,92,69,No,,30-min,Program/Project,SGSC,Short Term Load Forecasting,,,,Load Forecasting,Forecasting,,Utility Operations and benefits,Short term load forecasting
4XPAYTEY,1,journalArticle,2016,"Al-Wakeel, A.; Wu, Jianzhong",Energy Procedia,,K-means Based Cluster Analysis of Residential Smart Meter Measurements,A clustering module based on the <i>k</i>-means cluster analysis method was developed. Smart meter based residential load profiles were used to validate the clustering module. Several case studies were implemented using daily and segmented load profiles of individual and aggregated smart meters. Simulation results defined in terms of the relationship between the clustering ratio and the segmentation time window reveal that the minimum clustering ratio is obtained for the shortest time window of segmentation. Results also show that a small number of clusters is recommended for highly correlated load profiles. [All rights reserved Elsevier].,Ireland,Nation,,7/20/2009,8/9/2009,No,,21,100,No,,30-min,Program/Project,CERCBT,Customer Identification and Grouping,,,,Customer Identification,Customer Segmentation/Identification,Grouping Customers by Electricity Behavior (Clustering),Consumer Behavior,Customer Segmentation
2XTNE3MV,2,journalArticle,2019,"Chen, Mo; Sanders, Kelly T; Ban-Weiss, George A",Environmental Research Letters,10.1088/1748-9326/ab35a8,A new method utilizing smart meter data for identifying the existence of air conditioning in residential homes,"Climate change, urbanization, and economic growth are expected to drive increases in the installation of new air conditioners, as well as increases in utilization of existing air conditioning (AC) units, in the coming decades. This growth will provide challenges for a diversity of stakeholders, from grid operators charged with maintaining a reliable and cost-effective power system, to low-income communities that may struggle to afford increased electricity costs. Despite the importance of building a quantitative understanding of trends in existing and future AC usage, methods to estimate AC penetration with high spatial and temporal resolution are lacking. In this study we develop a new classification method to characterize AC penetration patterns with unprecedented spatiotemporal resolution (i.e. at the census tract level), using the Greater Los Angeles Area as a case study. The method utilizes smart meter data records from 180 476 households over two years, along with local ambient temperature records. When spatially aggregated, the overall AC penetration rate of the Greater Los Angeles Area is 69%, which is similar to values reported by previous studies. We believe this method can be applied to other regions of the world where household smart meter data are available. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 The Author(s). Published by IOP Publishing Ltd.",United States,Region,South California,1/1/2015,12/31/2016,No,,731,180476,No,,1-hour,Utility Company,SCE,Air Conditioning,Appliance Identification,,,Evaluation of Household Physical Infrastructure,Understanding Residential Stock and Behaviors,Appliance Identification,Physical Infrastructure,Appliance Identification and Use Patterns
D75L8KQ9,2,journalArticle,2019,"Sun, Mingyang; Wang, Yi; Strbac, Goran; Kang, Chongqing",IEEE Transactions on Industrial Electronics,10.1109/TIE.2018.2803732,Probabilistic Peak Load Estimation in Smart Cities Using Smart Meter Data,"Adequate capacity planning of substations and feeders primarily depends on an accurate estimation of the future peak electricity demand. Traditional coincident peak demand estimation is carried out based on the empirical metric, after diversity maximum demand, indicating individual peak consumption levels and demand diversification across multiple residents. With the privilege of smart meters in smart cities, this paper proposes a data-driven probabilistic peak demand estimation framework using fine-grained smart meter data and sociodemographic data of the consumers, which drive fundamental electricity consumptions across different categories. In particular, four main stages are integrated in the proposed approach: load modeling and sampling via the proposed variable truncated R-vine copulas method, correlation-based customer grouping, probabilistic normalized maximum diversified demand estimation, and probabilistic peak demand estimation for new customers. Numerical experiments have been conducted on real demand measurements across 2639 households in London, collected from Low Carbon London project's smart-metering trial. The mean absolute percentage error and the pinball loss function are used to quantitatively demonstrate the superiority of the proposed approach in terms of the point estimate value and the probabilistic result, respectively. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 1982-2012 IEEE.",UK,City,London,1/1/2013,12/31/2013,No,,365,2639,No,,30-min,Program/Project,Low Carbon London,Customer Identification and Grouping,Short Term Load Forecasting,,,Load Forecasting,Understanding Residential Stock and Behaviors,Load patterns - Socioeconomic Factors,Utility Operations and benefits,Short term load forecasting
7ABRUQME,2,journalArticle,2018,"Nugraha, Gde Dharma; Musa, Ardiansyah; Cho, Jaiyoung; Park, Kishik; Choi, Deokjai",Energies,10.3390/en11040772,Lambda-based data processing architecture for two-level load forecasting in residential buildings,"Building energy management systems (BEMS) have been intensively used to manage the electricity consumption of residential buildings more efficiently. However, the dynamic behavior of the occupants introduces uncertainty problems that affect the performance of the BEMS. To address this uncertainty problem, the BEMS may implement load forecasting as one of the BEMS modules. Load forecasting utilizes historical load data to compute model predictions for a specific time in the future. Recently, smart meters have been introduced to collect electricity consumption data. Smart meters not only capture aggregation data, but also individual data that is more frequently close to real-time. The processing of both smart meter data types for load forecasting can enhance the performance of the BEMS when confronted with uncertainty problems. The collection of smart meter data can be processed using a batch approach for short-term load forecasting, while the real-time smart meter data can be processed for very short-term load forecasting, which adjusts the short-term load forecasting to adapt to the dynamic behavior of the occupants. This approach requires different data processing techniques for aggregation and individual of smart meter data. In this paper, we propose Lambda-based data processing architecture to process the different types of smart meter data and implement the two-level load forecasting approach, which combines short-term and very short-term load forecasting techniques on top of our proposed data processing architecture. The proposed approach is expected to enhance the BEMS to address the uncertainty problem in order to process data in less time. Our experiment showed that the proposed approaches improved the accuracy by 7% compared to a typical BEMS with only one load forecasting technique, and had the lowest computation time when processing the smart meter data. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2018 by the authors.",UK,City,London,1/1/2012,12/31/2013,No,,731,5567,No,,1-hour,Program/Project,Low Carbon London,Short Term Load Forecasting,,,,Utility Operation Optimization,Forecasting,,Utility Operations and benefits,Short term load forecasting
